timestamp_sec,source,alue1,value2
976.026000,tfmini,0,13286
976.037780,tfmini,3,40
976.063415,tfmini,308,1818
976.073608,tfmini,308,1804
976.075134,tfmini,308,1805
976.084594,tfmini,309,1784
976.090820,tfmini,309,1816
976.107177,tfmini,0,510
976.119323,tfmini,227,1801
976.127502,tfmini,307,39421
976.136474,tfmini,309,1799
976.139770,tfmini,309,1802
976.146606,tfmini,309,1797
976.162902,tfmini,308,1791
976.165405,tfmini,307,1800
976.182617,tfmini,0,218
976.192871,tfmini,224,1792
976.200012,tfmini,306,1803
976.201538,tfmini,307,39257
976.206542,tfmini,308,1791
976.210693,tfmini,564,22937
976.213745,tfmini,308,1797
976.217590,tfmini,308,1800
976.226013,tfmini,308,22793
976.240478,tfmini,142,8231
976.242004,tfmini,7,10263
976.245300,tfmini,0,13339
976.262145,tfmini,227,1810
976.263671,tfmini,260,1810
976.268066,tfmini,302,1819
976.281372,tfmini,309,1819
976.284667,tfmini,308,1821
976.290466,tfmini,308,1816
976.300781,tfmini,308,1804
976.306213,tfmini,307,1833
