=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.06.10 11:17:53 =~=~=~=~=~=~=~=~=~=~=~=
# Ready. Send 's' to start, 'x' to stop.
# Recording started.
timestamp_sec,source,value1,vlue2
3.588144,tfmini,312,1894
3.598064,tfmini,312,1902
3.609824,tfmini,313,1880
3.623636,tfmini,312,1889
3.629672,tfmini,312,1894
3.640912,tfmini,313,1886
3.646216,tfmini,312,1870
3.648416,tfmini,312,1899
3.669384,tfmini,312,1862
3.686472,tfmini,312,1887
3.690680,tfmini,312,1874
3.706656,tfmini,312,1858
3.741920,tfmini,312,1880
3.743336,tfmini,312,1874
3.759608,tfmini,312,1870
3.761024,tfmini,312,1874
3.764528,tfmini,312,1882
3.765960,tfmini,313,1881
3.772488,tfmini,312,1877
3.779960,tfmini,313,1885
3.792440,tfmini,313,1878
3.800904,tfmini,313,57942
3.803128,tfmini,312,1890
3.806528,tfmini,312,1871
3.809880,tfmini,312,39253
3.814176,tfmini,312,1886
3.815608,tfmini,312,1894
3.825264,tfmini,312,1886
3.833120,tfmini,312,1881
3.837344,tfmini,311,1886
3.843496,tfmini,312,1873
3.851456,tfmini,313,22791
3.854400,tfmini,313,1878
3.856912,tfmini,312,1891
3.869636,tfmini,311,1876
3.873040,tfmini,313,1894
3.875408,tfmini,313,1882
3.877840,tfmini,313,1866
3.886296,tfmini,312,39268
3.894120,tfmini,312,22881
3.900096,tfmini,312,1886
3.901504,tfmini,312,1886
3.902928,tfmini,312,39263
3.905000,tfmini,312,1887
3.915520,tfmini,313,1875
3.918884,tfmini,312,1884
3.922376,tfmini,311,1884
3.938256,tfmini,313,1896
3.943824,tfmini,312,1879
3.945272,tfmini,312,1879
3.962240,tfmini,313,1880
3.973256,tfmini,313,1886
3.977584,tfmini,312,1879
3.979992,tfmini,312,1874
3.990732,tfmini,312,1870
4.003128,tfmini,312,1869
4.012688,tfmini,312,1874
4.021016,tfmini,312,1884
4.023160,tfmini,312,1878
4.024592,tfmini,312,1878
4.030512,tfmini,313,1864
4.033280,tfmini,313,1868
4.041792,tfmini,313,1888
4.050480,tfmini,312,1875
4.056728,tfmini,313,1880
4.061784,tfmini,312,1874
4.065760,tfmini,312,1879
4.069236,tfmini,312,1880
4.070672,tfmini,312,23011
4.075416,tfmini,312,1899
4.081944,tfmini,312,1872
4.084848,tfmini,312,1880
4.100160,tfmini,311,1877
4.101568,tfmini,311,1877
4.102992,tfmini,311,1877
4.118648,tfmini,312,1881
4.127392,tfmini,312,1880
4.132692,tfmini,313,1879
4.141808,tfmini,312,1870
4.143224,tfmini,312,1870
4.150464,tfmini,312,1889
4.163460,tfmini,311,1873
4.175616,tfmini,312,1881
4.177896,tfmini,312,1875
4.182368,tfmini,312,1881
4.187088,tfmini,313,1873
4.188552,tfmini,313,1882
4.199320,tfmini,312,1876
4.209368,tfmini,311,1874
4.223888,tfmini,312,1881
4.226336,tfmini,312,1879
4.230688,tfmini,312,1872
4.232128,tfmini,312,1879
4.235876,tfmini,312,1874
4.238424,tfmini,312,1871
4.239844,tfmini,312,22863
4.243640,tfmini,311,1884
4.254104,tfmini,312,1881
4.259664,tfmini,312,1890
4.264536,tfmini,312,1886
4.267820,tfmini,312,1863
4.285608,tfmini,312,1878
4.292016,tfmini,312,1883
4.293436,tfmini,312,1870
4.297464,tfmini,312,1872
4.310568,tfmini,312,1878
4.318160,tfmini,313,1870
4.323024,tfmini,313,1864
4.326420,tfmini,312,39244
4.330196,tfmini,312,1883
4.336512,tfmini,312,1885
4.350464,tfmini,312,1883
4.352848,tfmini,312,1886
4.368884,tfmini,159,4309
4.370312,laser,123,
4.373376,tfmini,0,7231
4.380440,tfmini,0,717
4.386104,tfmini,0,45
4.389288,tfmini,0,6
4.394496,tfmini,53,349
4.397792,tfmini,228,1884
4.406284,tfmini,311,39244
4.409336,tfmini,312,1877
4.410784,tfmini,312,1876
4.414152,tfmini,312,1881
4.415584,tfmini,312,39401
4.418672,tfmini,313,22937
4.426088,tfmini,312,1871
4.431752,tfmini,312,1881
4.434264,tfmini,312,1876
4.470172,laser,838,
4.475344,tfmini,1,9771
4.476672,tfmini,1,9758
4.484336,tfmini,1,4403
4.496124,tfmini,5,566
4.499484,tfmini,9,351
4.504896,tfmini,52,349
4.512176,tfmini,301,1881
4.520144,tfmini,312,1867
4.536048,tfmini,312,1879
4.544376,tfmini,313,39260
4.547344,tfmini,311,1885
4.549784,tfmini,311,1882
4.562352,tfmini,311,1880
4.565888,tfmini,309,1913
4.571296,tfmini,245,16255
4.578368,laser,887,
4.579504,tfmini,0,5152
4.591628,tfmini,0,3574
4.595752,tfmini,1,794
4.602736,tfmini,2,302
4.604016,tfmini,2,302
4.611260,tfmini,50,310
4.625240,tfmini,311,1877
4.634328,tfmini,312,1870
4.644012,tfmini,312,1879
4.646528,tfmini,312,1879
4.655752,tfmini,312,1886
4.657208,tfmini,312,1886
4.664332,tfmini,312,1884
4.669152,tfmini,312,1874
4.674344,tfmini,313,1876
4.701888,tfmini,312,1869
4.704276,tfmini,312,1868
4.705736,tfmini,311,1868
4.714200,tfmini,12061,39257
4.721856,tfmini,0,4151
4.726960,tfmini,0,4849
4.732800,tfmini,0,5131
4.734128,tfmini,0,5338
4.738052,tfmini,0,5501
4.746352,tfmini,0,5641
4.747688,tfmini,0,5845
4.749016,tfmini,0,5845
4.756772,laser,955,
4.762264,tfmini,1,5117
4.767496,tfmini,1,2096
4.769796,tfmini,2,1530
4.791200,tfmini,3,533
4.799264,tfmini,3,277
4.812696,tfmini,44,199
4.815984,tfmini,250,1122
4.817400,tfmini,23,1057
4.827664,tfmini,294,4879
4.836000,tfmini,307,5578
4.838256,tfmini,309,5601
4.842528,tfmini,311,5595
4.846500,tfmini,311,55779
4.861432,tfmini,312,5593
4.866000,tfmini,312,5599
4.870968,tfmini,312,5572
4.873288,tfmini,312,5580
4.874712,tfmini,312,22988
4.896208,tfmini,313,5591
4.897624,tfmini,313,5591
4.900024,tfmini,313,5595
4.904368,tfmini,313,5585
4.906888,tfmini,313,5579
4.911744,tfmini,313,5576
4.915624,tfmini,313,5437
4.921704,tfmini,313,5577
4.930200,tfmini,313,5584
4.934424,tfmini,313,5577
4.941336,tfmini,312,5586
4.943264,tfmini,312,5586
4.949672,tfmini,312,58057
4.972400,tfmini,313,5580
4.973856,tfmini,313,5569
4.979272,tfmini,313,5577
4.985960,tfmini,313,5575
4.987384,tfmini,313,5575
4.993456,tfmini,313,5582
4.994872,tfmini,313,2320
5.001168,tfmini,313,5586
5.009656,tfmini,313,5583
5.014952,tfmini,312,5571
5.025056,tfmini,311,5599
5.037416,tfmini,308,5624
5.053640,tfmini,10,14172
5.081124,tfmini,0,8399
5.096032,laser,960,
5.102620,tfmini,0,8543
5.117832,tfmini,4,1407
5.121984,tfmini,5,1058
5.126960,tfmini,5,813
5.128248,tfmini,5,813
5.144496,tfmini,46,282
5.165464,tfmini,311,1879
5.187920,tfmini,312,1876
5.199032,tfmini,312,1880
5.202264,tfmini,312,1871
5.208296,tfmini,311,1883
5.209720,tfmini,311,1883
5.211624,tfmini,312,1880
5.218532,tfmini,312,1871
5.224024,tfmini,313,1874
5.225440,tfmini,312,1874
5.238672,tfmini,311,1877
5.260376,tfmini,311,1874
5.292296,tfmini,306,1830
5.293712,tfmini,305,1564
5.298304,tfmini,225,6956
5.300688,tfmini,5,8456
5.304928,tfmini,0,1853
5.306256,laser,797,
5.308216,tfmini,0,13924
5.314820,tfmini,0,2157
5.316920,tfmini,153,2048
5.321168,tfmini,1,1529
5.324200,tfmini,2,539
5.326696,tfmini,2,472
5.332632,tfmini,1,322
5.340760,tfmini,19,53
5.343872,tfmini,52,241
5.353716,tfmini,308,1880
5.362540,tfmini,313,1885
5.364952,tfmini,313,1878
5.370528,tfmini,313,1892
5.377184,tfmini,313,1882
5.385944,tfmini,312,1871
5.411536,tfmini,305,1879
5.413928,tfmini,300,1558
5.417224,tfmini,40,4615
5.421624,laser,967,
5.423712,tfmini,0,1373
5.429448,tfmini,0,22937
5.432640,tfmini,0,1585
5.444032,tfmini,0,273
5.452352,tfmini,9,43
5.457480,tfmini,62,257
5.458812,tfmini,14,1528
5.462632,tfmini,282,1862
5.468104,tfmini,309,1883
5.469528,tfmini,310,1883
5.470992,tfmini,311,1885
5.480776,tfmini,312,1875
5.483152,tfmini,312,1878
5.486532,tfmini,312,1875
5.490064,tfmini,313,1876
5.507264,tfmini,312,1880
5.524272,tfmini,312,1883
5.525736,tfmini,312,1886
5.534336,tfmini,312,1872
5.537712,tfmini,312,1894
5.542056,tfmini,312,1871
5.551416,tfmini,311,1883
5.552840,tfmini,311,1883
5.558040,tfmini,310,1877
5.567264,tfmini,303,1834
5.570496,tfmini,291,1567
5.571920,tfmini,269,1825
5.579208,tfmini,0,6161
5.583568,tfmini,0,1734
5.587808,tfmini,0,1919
5.589144,laser,214,
5.590976,tfmini,0,1987
5.593776,tfmini,0,2100
5.596120,tfmini,0,2106
5.598184,tfmini,1,1815
5.609976,tfmini,0,206
5.614056,tfmini,2,125
5.618128,tfmini,10905,61696
5.622600,tfmini,226,1856
5.624896,tfmini,283,1884
5.628508,tfmini,309,1881
5.632504,tfmini,313,1879
5.635544,tfmini,313,1891
5.638064,tfmini,313,1887
5.641064,tfmini,312,1868
5.646512,tfmini,24888,22873
5.661160,tfmini,312,1878
5.680100,tfmini,28,5211
5.682456,laser,810,
5.683568,tfmini,0,6159
5.697072,tfmini,0,371
5.711136,tfmini,61,328
5.715384,tfmini,279,1876
5.722392,tfmini,311,1876
5.733792,tfmini,313,1874
5.745936,tfmini,313,1868
5.749408,tfmini,313,1900
5.754624,tfmini,312,39184
5.776904,tfmini,276,4103
5.778320,tfmini,133,5744
5.780976,laser,899,
5.783536,tfmini,0,1315
5.784872,tfmini,0,1315
5.786200,tfmini,0,1562
5.795340,tfmini,0,459
5.807432,tfmini,0,53
5.820080,tfmini,302,1878
5.822492,tfmini,308,1865
5.831432,tfmini,312,1886
5.835788,tfmini,312,1888
5.841864,tfmini,312,1885
5.848792,tfmini,312,1879
5.855472,tfmini,313,1865
5.859680,tfmini,312,1886
5.868904,tfmini,312,1876
5.877200,tfmini,277,4165
5.878824,laser,811,
5.888724,tfmini,0,1274
5.906472,tfmini,48,1895
5.914920,tfmini,311,1899
5.917192,tfmini,312,1888
5.920728,tfmini,312,1879
5.923120,tfmini,312,1869
5.925064,tfmini,312,1888
5.927964,tfmini,312,1874
5.932052,tfmini,312,39250
5.935752,tfmini,312,1870
