config_id,flight_ok,can_liftoff,rpm_launch,mass_kg,inertia_kg_m2,blade_planform_m2,T_static_N,Q_static_Nm,Pshaft_static_W,T_over_W,h_max_m,flight_time_s,hover_time_s,v_max_m_s,v_impact_m_s,rpm_at_impact
2625,True,False,4000.0,0.01535857,3.03355e-05,0.0045303999999999995,0.07539,0.001265,0.52988,0.50037,0.0,0.0,0.0,0.0,0.0,4000.0
2626,True,True,4000.0,0.01163556,3.51261e-05,0.0041291999999999995,0.3296,0.003738,1.56577,2.88756,5.39843635,4.8846191,1.51040002,2.67912085,-6.00816653,1844.13246221
2627,True,True,4000.0,0.01575078,4.43098e-05,0.0033517499999999997,0.2456,0.002824,1.18291,1.58949,2.19722668,3.06714008,0.66913851,1.48129114,-5.60499873,2739.52256746
2628,True,True,4000.0,0.00867162,3.12028e-05,0.004744,0.2397,0.003093,1.29559,2.81773,1.96772972,2.81534971,0.45361366,1.81389613,-4.43549857,2051.12286025
2629,True,True,4000.0,0.00661009,1.5703e-05,0.002368,0.08886,0.0009551,0.40007,1.37035,0.5570524,1.8264499,0.38506016,0.59360321,-3.08306623,3141.24776568
2630,True,True,4000.0,0.01511814,4.19248e-05,0.0052195,0.2197,0.002635,1.10375,1.48137,0.74244693,1.99950718,0.45897875,0.75603139,-3.49153813,2999.73303591
2631,True,True,4000.0,0.01519134,4.75855e-05,0.006295200000000001,0.4351,0.005586,2.33986,2.9196,3.72081777,3.79789545,0.78078958,2.50640614,-5.42309261,1872.6537603
2632,True,False,4000.0,0.0046215,1.07027e-05,0.0017897999999999996,0.04315,0.0004648,0.19469,0.95176,0.0,0.0,0.0,0.0,0.0,4000.0
2633,True,True,4000.0,0.0154073,4.33776e-05,0.0043296,0.1649,0.001758,0.73639,1.091,0.05424132,0.82134242,0.29624361,0.11495893,-1.025993,3703.29341492
2634,True,True,4000.0,0.0150129,4.52122e-05,0.005144,0.237,0.003556,1.48953,1.60922,0.69184884,1.7408541,0.333101,0.83578819,-3.39244119,2824.00464
2635,True,False,4000.0,0.0183205,3.25904e-05,0.00380205,0.0499,0.001118,0.46831,0.27765,0.0,0.0,0.0,0.0,0.0,4000.0
2636,True,True,4000.0,0.02324498,6.39195e-05,0.005346,0.334,0.004484,1.87825,1.4647,0.96873188,2.01369742,0.53299334,0.97832565,-4.03372733,2898.02475612
2637,False,False,4000.0,0.01061702,3.82918e-05,0.003672,,,,,,,,,,
2638,False,False,4000.0,0.01215591,2.82311e-05,0.0051534,,,,,,,,,,
2639,False,False,4000.0,0.00689039,1.72458e-05,0.0023343,,,,,,,,,,
2640,True,True,4000.0,0.00842078,2.33555e-05,0.00294,0.1398,0.002554,1.06982,1.69233,0.71954321,1.53429424,0.39124866,1.00988499,-3.44315613,2589.85553976
2641,True,True,4000.0,0.00794311,2.37738e-05,0.0029791999999999996,0.2789,0.00306,1.28177,3.57922,4.01946568,3.63150838,0.52157341,3.13603671,-5.68259563,1641.64521647
2642,True,True,4000.0,0.01701727,4.6681e-05,0.0048660000000000005,0.4296,0.004522,1.89417,2.57339,4.94965972,4.6190529,1.07127683,2.52072188,-6.44799743,2008.39206396
2643,True,False,4000.0,0.02459885,5.12034e-05,0.006420000000000001,0.151,0.001765,0.73932,0.62574,0.0,0.0,0.0,0.0,0.0,4000.0
2644,True,True,4000.0,0.01633205,4.34996e-05,0.0042568,0.2264,0.002623,1.09872,1.41308,0.87929441,2.05822508,0.48429432,0.85101076,-3.83470092,3021.85395492
2645,True,False,4000.0,0.01868738,5.0737e-05,0.005036799999999999,0.1693,0.00228,0.95504,0.92351,0.0,0.0,0.0,0.0,0.0,4000.0
