config_id,band,h_max_tier,subset,radius_mm,blade_count,inner_chord_mm,mid_chord_mm,outer_chord_mm,inner_angle_deg,mid_angle_deg,outer_angle_deg,mid_radial_pos,mass_g,mass_kg,izz,T_static_N,T_over_W,h_max_m,flight_time_s,v_impact_m_s
2233,1,2,band1_tier2,61,3,7,16,16,24,14,14,0.7,10.323,0.010323,2.82156e-05,0.1603,1.58292,2.16367327,3.00489131,-5.56845632
2293,1,2,band1_tier2,78,6,5,24,23,25,6,3,0.7,19.352999999999998,0.019353,5.98076e-05,0.3512,1.84985,1.77557747,2.87105094,-4.68020679
2318,1,2,band1_tier2,73,4,8,30,26,19,14,4,0.6,15.757,0.015757,4.2164e-05,0.4213,2.72552,1.75143024,2.17108895,-4.65783544
2659,1,2,band1_tier2,80,6,6,13,10,24,5,3,0.6,8.732999999999999,0.008733,3.13183e-05,0.2213,2.58315,2.46762556,3.49701576,-4.64707782
2916,1,2,band1_tier2,75,3,9,22,20,18,10,9,0.6,12.525,0.012525,4.19495e-05,0.202,1.64401,2.18886313,3.80046207,-5.26422716
3299,1,2,band1_tier2,80,5,5,30,26,19,12,11,0.5,28.545,0.028545,0.000102696,0.6876,2.45548,2.44100231,2.73214551,-5.42006626
3623,1,2,band1_tier2,78,4,9,10,10,22,12,12,0.3,9.882,0.009882,4.05802e-05,0.164,1.69173,2.20354615,3.13442765,-5.30122804
4273,1,2,band1_tier2,77,4,7,11,10,21,7,4,0.4,6.678,0.006678,2.39051e-05,0.1137,1.73558,1.44574647,3.12920735,-4.32340046
4881,1,2,band1_tier2,64,3,11,29,29,19,14,12,0.6,18.523999999999997,0.018524,5.47674e-05,0.3525,1.93979,1.99931648,2.48659619,-5.35414565
178,1,3,band1_tier3,62,6,5,12,11,19,14,13,0.6,8.595,0.008595,2.11185e-05,0.1959,2.32338,3.26594914,3.56131712,-5.39894491
561,1,3,band1_tier3,80,3,11,11,11,21,4,4,0.6,5.335999999999999,0.005336,2.3747e-05,0.1315,2.51212,3.95734784,5.55872621,-5.2057325
806,1,3,band1_tier3,76,4,7,17,10,18,9,9,0.7,11.903,0.011903,3.46066e-05,0.2868,2.45614,4.20976875,4.07173363,-6.16547621
885,1,3,band1_tier3,68,6,6,24,13,24,13,5,0.7,16.879,0.016879,3.32267e-05,0.4371,2.63976,3.12425403,3.02987658,-5.48701402
934,1,3,band1_tier3,78,6,5,20,20,18,11,9,0.4,27.417,0.027417,9.65883e-05,0.5191,1.93002,2.88278726,3.43026459,-5.79297259
1414,1,3,band1_tier3,80,3,10,29,10,24,10,3,0.6,12.107,0.012107,3.79269e-05,0.3,2.5259,3.39526188,4.11785742,-5.57089912
